username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,https://github.com//justjavac/free-programming-books-zh_CN,83400
angular,angular,https://github.com//angular/angular,77000
storybookjs,storybook,https://github.com//storybookjs/storybook,65300
ionic-team,ionic-framework,https://github.com//ionic-team/ionic-framework,45400
leonardomso,33-js-concepts,https://github.com//leonardomso/33-js-concepts,43800
prettier,prettier,https://github.com//prettier/prettier,40800
SheetJS,sheetjs,https://github.com//SheetJS/sheetjs,27500
angular,angular-cli,https://github.com//angular/angular-cli,25000
angular,components,https://github.com//angular/components,22200
NativeScript,NativeScript,https://github.com//NativeScript/NativeScript,20600
Eugeny,tabby,https://github.com//Eugeny/tabby,19600
jhipster,generator-jhipster,https://github.com//jhipster/generator-jhipster,18900
handsontable,handsontable,https://github.com//handsontable/handsontable,15800
teambit,bit,https://github.com//teambit/bit,14100
sweetalert2,sweetalert2,https://github.com//sweetalert2/sweetalert2,13600
goldbergyoni,javascript-testing-best-practices,https://github.com//goldbergyoni/javascript-testing-best-practices,13300
linnovate,mean,https://github.com//linnovate/mean,12100
coreui,coreui-free-bootstrap-admin-template,https://github.com//coreui/coreui-free-bootstrap-admin-template,11000
codesandbox,codesandbox-client,https://github.com//codesandbox/codesandbox-client,11000
PatrickJS,angular-starter,https://github.com//PatrickJS/angular-starter,10400
Chocobozzz,PeerTube,https://github.com//Chocobozzz/PeerTube,9800
nrwl,nx,https://github.com//nrwl/nx,8800
angular,protractor,https://github.com//angular/protractor,8800
OnsenUI,OnsenUI,https://github.com//OnsenUI/OnsenUI,8500
PatrickJS,awesome-angular,https://github.com//PatrickJS/awesome-angular,8100
text-mask,text-mask,https://github.com//text-mask/text-mask,8100
ng-bootstrap,ng-bootstrap,https://github.com//ng-bootstrap/ng-bootstrap,7800
NG-ZORRO,ng-zorro-antd,https://github.com//NG-ZORRO/ng-zorro-antd,7700
dotansimha,graphql-code-generator,https://github.com//dotansimha/graphql-code-generator,7700
ag-grid,ag-grid,https://github.com//ag-grid/ag-grid,7600
